 [2009-22-25 06:22,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-22-25 06:22,   117]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-22-25 06:22,   124]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-22-25 06:22,   188]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-22-25 06:22,   250]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-24-25 06:24,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-24-25 06:24,   304]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-24-25 06:24,   312]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-24-25 06:24,   321]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-24-25 06:24,   331]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-26-25 06:26,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-26-25 06:26,   288]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-26-25 06:26,   295]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-26-25 06:26,   328]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-26-25 06:26,   339]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-29-25 06:29,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-29-25 06:29,    94]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-29-25 06:29,   101]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-29-25 06:29,   110]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-29-25 06:29,   121]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-31-25 06:31,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-31-25 06:31,   129]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-31-25 06:31,   136]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-31-25 06:31,   146]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-31-25 06:31,   158]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-31-25 06:31,   161]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-31-25 06:31,   162]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-31-25 06:31,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-31-25 06:31,    95]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-31-25 06:31,   103]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-31-25 06:31,   122]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-31-25 06:31,   227]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-31-25 06:31,   230]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-31-25 06:31,   231]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-32-25 06:32,  9792]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - 0
 [2009-32-25 06:32,  9800]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - 0
 [2009-32-25 06:32, 12768]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - 0
 [2009-32-25 06:32, 12780]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - 0
 [2009-32-25 06:32, 12818]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - 1
 [2009-32-25 06:32, 13438]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - 1
 [2009-32-25 06:32, 13440]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:32:04 CEST 2009
 [2009-32-25 06:32, 13440]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f00f5da060000012218426577697a623a]] - 17.0
 [2009-32-25 06:32, 15034]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - 1
 [2009-32-25 06:32, 15041]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - 1
 [2009-32-25 06:32, 15042]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - Script: ejemplo.sql lanzado: Thu Jun 25 18:32:05 CEST 2009
 [2009-32-25 06:32, 15042]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f014f8dab00000122184265a16377a750]] - 5093.0
